,name,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,company,age
44,Maruti Alto,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,90.0,5,Maruti,4
45,Toyota Fortuner,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982,168.5,343.0,7,Toyota,8
46,Toyota Innova,700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.0,200.0,7,Toyota,9
47,Mercedes-Benz B,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143,120.7,200.0,5,Mercedes-Benz,8
48,Honda Amaze,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63,200.0,5,Honda,7
49,Mitsubishi Pajero,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,400.0,7,Mitsubishi,9
50,Honda City,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,200.0,5,Honda,7
51,Maruti Ciaz,850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462,103.25,138.0,5,Maruti,4
52,Honda Jazz,525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498,98.6,200.0,5,Honda,7
53,Toyota Innova,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,360.0,7,Toyota,6
54,Toyota Innova,950000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.6,200.0,7,Toyota,6
55,Audi A6,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968,174.33,380.0,5,Audi,9
56,Toyota Corolla,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,173.0,5,Toyota,4
57,Audi A6,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968,187.74,400.0,5,Audi,9
58,Mercedes-Benz New,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143,170.0,400.0,5,Mercedes-Benz,9
59,Tata Manza,265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,200.0,5,Tata,11
60,Hyundai i10,190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,111.7,5,Hyundai,11
61,Hyundai i20,425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,219.6,5,Hyundai,9
62,Maruti Swift,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248,74.0,190.0,5,Maruti,7
63,Ford Figo,600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196,86.8,112.0,5,Ford,5
64,Maruti Baleno,650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,115.0,5,Maruti,3
65,Volkswagen Ameo,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498,108.495,250.0,5,Volkswagen,6
66,Honda City,630000,135000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,200.0,5,Honda,7
67,Maruti Wagon,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,90.0,5,Maruti,4
68,Volkswagen Ameo,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,250.0,5,Volkswagen,5
69,Maruti Vitara,745000,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5,Maruti,6
70,Maruti Vitara,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5,200.0,5,Maruti,3
71,Hyundai i10,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,111.7,5,Hyundai,11
72,Maruti Swift,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,190.0,5,Maruti,6
73,Toyota Fortuner,1700000,78000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,343.0,7,Toyota,7
74,Maruti Swift,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,190.0,5,Maruti,9
75,Maruti Ertiga,450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,130.0,7,Maruti,10
76,Volkswagen Vento,450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,250.0,5,Volkswagen,9
77,Toyota Innova,1200000,140000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,200.0,8,Toyota,6
78,Ford EcoSport,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,205.0,5,Ford,7
79,BMW X1,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998,189.0,280.0,5,BMW,6
80,Maruti Celerio,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998,67.04,90.0,5,Maruti,5
81,Datsun GO,275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198,67.05,104.0,5,Datsun,6
82,Maruti Alto,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,69.0,5,Maruti,6
83,Maruti Alto,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,69.0,5,Maruti,6
84,Hyundai i10,290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086,68.05,99.04,5,Hyundai,10
85,Maruti Omni,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796,35.0,6.1,5,Maruti,5
86,Maruti Wagon,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998,58.2,77.0,5,Maruti,12
87,Volkswagen Polo,455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198,74.0,110.0,5,Volkswagen,7
88,Hyundai i10,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086,68.05,99.04,5,Hyundai,7
89,Volkswagen Vento,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598,103.6,153.0,5,Volkswagen,10
90,Maruti Zen,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998,67.1,90.0,5,Maruti,13
91,Hyundai i20,525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197,82.85,113.7,5,Hyundai,9
92,Maruti Swift,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,190.0,5,Maruti,6
93,Hyundai Xcent,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197,82.0,114.0,5,Hyundai,6
94,Maruti Alto,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796,46.3,62.0,5,Maruti,14
95,Hyundai i20,725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7,5,Hyundai,5
96,Maruti Wagon,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998,67.05,90.0,5,Maruti,13
97,Tata Manza,200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248,90.0,200.0,5,Tata,12
98,Maruti Swift,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,113.0,5,Maruti,3
99,Maruti Eeco,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196,73.0,101.0,7,Maruti,6
100,Maruti Baleno,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,115.0,5,Maruti,4
101,Mahindra Scorpio,625000,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120.0,290.0,8,Mahindra,8
102,Ford Freestyle,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194,94.68,120.0,5,Ford,2
103,Hyundai Verna,866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151.0,5,Hyundai,5
104,Volkswagen Passat,700000,114000,Petrol,Individual,Manual,First Owner,14.3,1798,160.0,250.0,5,Volkswagen,12
105,Tata Indica,300000,48000,Petrol,Individual,Manual,First Owner,15.8,1172,65.0,96.0,5,Tata,12
106,Mahindra XUV500,1700000,32000,Diesel,Individual,Manual,First Owner,15.1,2179,155.0,360.0,7,Mahindra,3
107,Tata Indigo,375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,135.0,5,Tata,6
108,Hyundai Verna,522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,259.8,5,Hyundai,9
109,Hyundai i20,451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,219.6,5,Hyundai,9
110,Toyota Corolla,300000,100000,Petrol,Individual,Manual,Second Owner,14.53,1798,138.1,173.0,5,Toyota,13
111,Maruti Celerio,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,90.0,5,Maruti,2
112,Maruti Vitara,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5,Maruti,6
113,Maruti Swift,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,115.0,5,Maruti,5
114,Maruti Wagon,440000,35000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,90.0,5,Maruti,5
115,Nissan Terrano,400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,200.0,5,Nissan,8
116,Hyundai Creta,1140000,50000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,259.9,5,Hyundai,6
117,Ford EcoSport,850000,76139,Diesel,Individual,Manual,First Owner,23.0,1498,98.96,205.0,5,Ford,5
118,Maruti Swift,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,190.0,5,Maruti,10
119,Renault KWID,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,91.0,5,Renault,4
120,Maruti Celerio,360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,90.0,5,Maruti,7
121,Maruti Alto,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,62.0,5,Maruti,14
122,Maruti Ertiga,625000,90000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,200.0,7,Maruti,9
123,Hyundai Santro,135000,80000,Petrol,Individual,Manual,Second Owner,17.92,1086,62.1,96.1,5,Hyundai,13
124,Maruti Ertiga,700000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,200.0,7,Maruti,7
125,Honda Amaze,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7,109.0,5,Honda,3
126,Audi Q5,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968,188.0,400.0,5,Audi,4
127,Lexus ES,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,202.0,5,Lexus,3
128,Jaguar XF,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,430.0,5,Jaguar,5
129,Jeep Wrangler,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604,280.0,347.0,5,Jeep,5
130,Land Rover,4500000,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999,148.31,382.0,7,Land,3
131,Mercedes-Benz S-Class,6000000,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987,254.79,620.0,5,Mercedes-Benz,5
132,BMW 5,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995,187.74,400.0,5,BMW,4
133,BMW X4,5800000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,400.0,5,BMW,3
134,Skoda Superb,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798,177.46,250.0,5,Skoda,4
135,Mercedes-Benz E-Class,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143,204.0,500.0,5,Mercedes-Benz,6
136,MG Hector,1750000,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451,141.0,250.0,5,MG,3
137,Honda City,795000,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497,117.6,145.0,5,Honda,5
138,Toyota Corolla,625000,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,173.0,5,Toyota,9
139,Volvo XC40,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969,190.0,400.0,5,Volvo,4
140,Audi Q7,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967,241.4,550.0,7,Audi,7
141,Maruti Ciaz,535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248,88.5,200.0,5,Maruti,7
142,Mercedes-Benz S-Class,5850000,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987,282.0,490.0,5,Mercedes-Benz,5
143,BMW 5,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497,150.0,250.0,5,BMW,12
144,Hyundai Elantra,805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797,147.5,177.5,5,Hyundai,6
145,Jaguar XE,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,430.0,5,Jaguar,5
146,Tata Nexon,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198,108.5,170.0,5,Tata,4
147,Volkswagen Vento,375000,49000,Petrol,Individual,Manual,First Owner,15.04,1598,103.6,153.0,5,Volkswagen,11
148,Hyundai Elantra,550000,95000,Petrol,Individual,Manual,First Owner,16.3,1797,147.5,177.5,5,Hyundai,10
149,Skoda Rapid,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,153.0,5,Skoda,6
150,Mercedes-Benz CLA,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991,183.0,300.0,5,Mercedes-Benz,4
151,Maruti Ertiga,599000,46100,Petrol,Dealer,Manual,First Owner,16.02,1373,93.7,130.0,7,Maruti,8
152,Mercedes-Benz New,2700000,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991,181.04,300.0,5,Mercedes-Benz,5
153,Honda City,875000,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497,116.3,146.0,5,Honda,5
154,Toyota Glanza,894999,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,113.0,5,Toyota,3
155,Maruti Alto,175000,11000,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,90.0,5,Maruti,11
156,Maruti Swift,340000,24300,Petrol,Dealer,Manual,First Owner,21.21,1197,81.8,113.0,5,Maruti,10
157,Toyota Innova,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,360.0,7,Toyota,6
158,Tata Nexon,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497,108.5,260.0,5,Tata,4
159,BMW 3,2150000,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995,190.0,400.0,5,BMW,6
160,Toyota Camry,1900000,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494,157.7,213.0,5,Toyota,6
161,BMW 5,2900000,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995,190.0,400.0,5,BMW,6
162,Toyota Camry,450000,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362,164.7,224.0,5,Toyota,13
163,Maruti Ertiga,850000,20000,Petrol,Individual,Manual,First Owner,17.5,1373,91.1,130.0,7,Maruti,6
164,Volkswagen Vento,300000,100000,Diesel,Individual,Manual,Second Owner,20.54,1598,103.6,250.0,5,Volkswagen,11
165,Ford Figo,575000,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,112.0,5,Ford,4
166,Ford Figo,160000,120000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,160.0,5,Ford,11
167,Maruti Swift,515000,36600,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,113.0,5,Maruti,7
168,Maruti Wagon,390000,50000,Petrol,Individual,Automatic,Second Owner,20.51,998,67.0,90.0,5,Maruti,7
169,Hyundai i20,550000,14000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,114.7,5,Hyundai,6
170,Maruti 800,40000,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,59.0,4,Maruti,23
171,Maruti Ritz,220000,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,113.0,5,Maruti,12
172,Hyundai Grand,425000,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,114.0,5,Hyundai,7
173,Volkswagen Ameo,480000,13000,Petrol,Individual,Manual,First Owner,19.44,999,75.0,95.0,5,Volkswagen,3
174,Hyundai Grand,400000,60000,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0,114.0,5,Hyundai,8
175,Maruti Swift,487000,35000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,114.0,5,Maruti,8
176,Hyundai Xcent,386000,44000,Petrol,Individual,Manual,Second Owner,19.1,1197,82.0,114.0,5,Hyundai,6
177,Honda City,100000,120000,Petrol,Individual,Manual,Second Owner,13.0,1493,100.0,13.1,5,Honda,17
178,Toyota Corolla,300000,60000,Diesel,Individual,Manual,First Owner,21.43,1364,87.2,205.0,5,Toyota,12
179,Daewoo Matiz,100000,60000,Petrol,Individual,Manual,First Owner,18.5,796,53.0,71.0,5,Daewoo,22
180,Toyota Fortuner,1750000,30000,Diesel,Individual,Manual,Second Owner,13.0,2982,168.5,343.0,7,Toyota,8
181,Mahindra KUV,450000,15000,Petrol,Individual,Manual,Second Owner,18.15,1198,82.0,115.0,6,Mahindra,6
182,Tata Zest,490000,90000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,190.0,5,Tata,5
183,Honda City,345000,47000,Petrol,Individual,Manual,Second Owner,17.0,1497,118.0,146.0,5,Honda,13
184,Maruti Zen,85000,90000,Petrol,Individual,Manual,First Owner,17.3,993,60.0,78.0,5,Maruti,17
185,Maruti Wagon,215000,120600,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,90.0,5,Maruti,12
186,Hyundai Verna,320000,100000,Petrol,Individual,Manual,Third Owner,16.2,1599,103.2,14.9,5,Hyundai,12
187,Maruti Swift,459999,60000,Petrol,Individual,Manual,Second Owner,20.85,1197,83.14,115.0,5,Maruti,6
188,Hyundai Getz,65000,86000,Petrol,Individual,Manual,First Owner,15.3,1341,83.0,115.0,5,Hyundai,17
189,Hyundai Elite,720000,5000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,117.0,5,Hyundai,2
190,Maruti Ciaz,800000,37000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,200.0,5,Maruti,5
191,Tata Tigor,520000,14000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,114.0,5,Tata,3
192,Maruti Ertiga,580000,70000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,200.0,7,Maruti,7
193,Honda City,600000,50000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,145.0,5,Honda,7
194,Honda Brio,290000,60000,Petrol,Individual,Manual,Second Owner,19.4,1198,86.8,109.0,5,Honda,8
195,Maruti Wagon,360000,50000,CNG,Individual,Manual,First Owner,26.6,998,58.16,77.0,5,Maruti,6
196,Maruti Swift,550000,50000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,115.0,5,Maruti,5
197,Hyundai i20,375000,70000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,113.7,5,Hyundai,9
198,Maruti Wagon,420000,35000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,90.0,5,Maruti,4
199,Maruti Swift,550000,20000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,113.0,5,Maruti,5
200,Maruti Alto,270000,20000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,69.0,5,Maruti,4
201,Maruti Swift,700000,7800,Petrol,Individual,Automatic,First Owner,22.0,1197,81.8,113.0,5,Maruti,4
202,Maruti Swift,500000,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,113.0,5,Maruti,5
203,Tata Hexa,1250000,15000,Diesel,Individual,Manual,First Owner,17.6,2179,147.94,320.0,7,Tata,3
204,Hyundai i20,320000,31377,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,113.7,5,Hyundai,9
205,Maruti Swift,700000,50000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,190.0,5,Maruti,4
206,Maruti Wagon,290000,60000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,90.0,5,Maruti,7
207,Toyota Corolla,550000,100000,Petrol,Individual,Automatic,First Owner,14.53,1794,138.1,173.0,5,Toyota,10
208,Honda Brio,265000,60000,Petrol,Individual,Manual,First Owner,19.4,1198,86.8,109.0,5,Honda,10
209,Maruti Baleno,830000,5000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,115.0,5,Maruti,4
210,Tata Safari,800000,60000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,320.0,7,Tata,5
211,Maruti Alto,160000,25000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,Maruti,11
212,Renault KWID,335000,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72.0,5,Renault,4
213,Datsun GO,329000,80000,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0,104.0,5,Datsun,5
214,Maruti Vitara,775000,75000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5,Maruti,5
215,Hyundai Xcent,524000,32000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,113.75,5,Hyundai,2
216,Maruti Alto,245000,40000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,69.0,5,Maruti,7
217,Hyundai i20,275000,93000,Petrol,Individual,Manual,Second Owner,17.0,1197,80.0,11.4,5,Hyundai,10
218,Tata Zest,520000,60000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,140.0,5,Tata,4
219,Nissan Sunny,550000,37000,Petrol,Individual,Manual,First Owner,16.95,1498,97.7,134.0,5,Nissan,8
220,Ford EcoSport,910000,15000,Petrol,Individual,Manual,First Owner,17.0,1497,121.36,150.0,5,Ford,4
221,Nissan Micra,300000,80000,Petrol,Individual,Manual,First Owner,19.49,1198,67.04,104.0,5,Nissan,7
222,Maruti Wagon,350000,140000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,90.0,5,Maruti,6
223,Mahindra Ssangyong,900000,70000,Diesel,Individual,Manual,First Owner,12.83,2696,162.0,340.0,7,Mahindra,9
224,Mahindra Quanto,300000,120000,Diesel,Individual,Manual,Second Owner,17.21,1493,100.0,240.0,7,Mahindra,9
225,Maruti Ritz,250000,110000,Diesel,Individual,Manual,Second Owner,21.1,1248,73.9,190.0,5,Maruti,12
226,Hyundai Creta,1100000,37000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,259.9,5,Hyundai,5
227,Renault KWID,270000,44000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72.0,5,Renault,6
228,Maruti Ertiga,640000,80000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,200.0,7,Maruti,7
229,Mahindra XUV500,650000,125000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,330.0,7,Mahindra,7
230,Maruti Eeco,409999,13500,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,101.0,5,Maruti,5
231,Hyundai Santro,165000,75000,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,96.1,5,Hyundai,11
232,Hyundai Accent,80000,120000,Petrol,Individual,Manual,Second Owner,13.2,1495,94.0,12.5,5,Hyundai,15
